fecha,valor
2020-04-08,6.5026
2020-04-09,6.503029
2020-04-10,6.503457
2020-04-11,6.500082
2020-04-12,6.496708
2020-04-13,6.493336
2020-04-14,6.489966
2020-04-15,6.486597
2020-04-16,6.48323
2020-04-17,6.479865
2020-04-18,6.476502
2020-04-19,6.47314
2020-04-20,6.469781
2020-04-21,6.466423
2020-04-22,6.463066
2020-04-23,6.459712
2020-04-24,6.456359
2020-04-25,6.453008
2020-04-26,6.449897
2020-04-27,6.446787
2020-04-28,6.443679
2020-04-29,6.440573
2020-04-30,6.437468
2020-05-01,6.434364
2020-05-02,6.431262
2020-05-03,6.428162
2020-05-04,6.425063
2020-05-05,6.421965
2020-05-06,6.418869
2020-05-07,6.415775
2020-05-08,6.412682
2020-05-09,6.40959
2020-05-10,6.4065
2020-05-11,6.407304
2020-05-12,6.408108
2020-05-13,6.408912
2020-05-14,6.409716
2020-05-15,6.41052
2020-05-16,6.411324
2020-05-17,6.412128
2020-05-18,6.412933
2020-05-19,6.413737
2020-05-20,6.414542
2020-05-21,6.415347
2020-05-22,6.416152
2020-05-23,6.416956
2020-05-24,6.417762
2020-05-25,6.418567
2020-05-26,6.419751
2020-05-27,6.420936
2020-05-28,6.422121
2020-05-29,6.423306
2020-05-30,6.424492
2020-05-31,6.425677
2020-06-01,6.426863
2020-06-02,6.428049
2020-06-03,6.429236
2020-06-04,6.430422
2020-06-05,6.431609
2020-06-06,6.432796
2020-06-07,6.433983
2020-06-08,6.43517
2020-06-09,6.436358
2020-06-10,6.437546
2020-06-11,6.437509
2020-06-12,6.437473
2020-06-13,6.437437
2020-06-14,6.4374
2020-06-15,6.437364
2020-06-16,6.437327
2020-06-17,6.437291
2020-06-18,6.437255
2020-06-19,6.437218
2020-06-20,6.437182
2020-06-21,6.437146
2020-06-22,6.437109
2020-06-23,6.437073
2020-06-24,6.437036
2020-06-25,6.437
2020-06-26,6.43836
2020-06-27,6.439721
2020-06-28,6.441082
2020-06-29,6.442443
2020-06-30,6.443804
2020-07-01,6.445166
2020-07-02,6.446528
2020-07-03,6.44789
2020-07-04,6.449253
2020-07-05,6.450616
2020-07-06,6.451979
2020-07-07,6.453342
2020-07-08,6.454706
2020-07-09,6.45607
2020-07-10,6.457434
2020-07-11,6.459435
2020-07-12,6.461436
2020-07-13,6.463438
2020-07-14,6.465441
2020-07-15,6.467444
2020-07-16,6.469448
2020-07-17,6.471452
2020-07-18,6.473457
2020-07-19,6.475463
2020-07-20,6.477469
2020-07-21,6.479476
2020-07-22,6.481484
2020-07-23,6.483492
2020-07-24,6.4855
2020-07-25,6.48751
2020-07-26,6.488948
2020-07-27,6.490386
2020-07-28,6.491824
2020-07-29,6.493263
2020-07-30,6.494702
2020-07-31,6.496141
2020-08-01,6.497581
2020-08-02,6.49902
2020-08-03,6.500461
2020-08-04,6.501901
2020-08-05,6.503342
2020-08-06,6.504783
2020-08-07,6.506225
2020-08-08,6.507667
2020-08-09,6.509109
2020-08-10,6.510552
2020-08-11,6.511141
2020-08-12,6.511731
2020-08-13,6.512321
2020-08-14,6.512911
2020-08-15,6.513501
2020-08-16,6.514091
2020-08-17,6.514681
2020-08-18,6.515272
2020-08-19,6.515862
2020-08-20,6.516452
2020-08-21,6.517042
2020-08-22,6.517633
2020-08-23,6.518223
2020-08-24,6.518814
2020-08-25,6.519404
2020-08-26,6.520389
2020-08-27,6.521373
2020-08-28,6.522358
2020-08-29,6.523342
2020-08-30,6.524327
2020-08-31,6.525312
2020-09-01,6.526297
2020-09-02,6.527282
2020-09-03,6.528268
2020-09-04,6.529253
2020-09-05,6.530239
2020-09-06,6.531225
2020-09-07,6.532211
2020-09-08,6.533197
2020-09-09,6.534183
2020-09-10,6.53517
2020-09-11,6.535893
2020-09-12,6.536616
2020-09-13,6.537339
2020-09-14,6.538062
2020-09-15,6.538786
2020-09-16,6.539509
2020-09-17,6.540233
2020-09-18,6.540956
2020-09-19,6.54168
2020-09-20,6.542404
2020-09-21,6.543127
2020-09-22,6.543851
2020-09-23,6.544575
2020-09-24,6.545299
2020-09-25,6.546024
2020-09-26,6.546735
2020-09-27,6.547446
2020-09-28,6.548157
2020-09-29,6.548868
2020-09-30,6.549579
2020-10-01,6.55029
2020-10-02,6.551002
2020-10-03,6.551713
2020-10-04,6.552425
2020-10-05,6.553136
2020-10-06,6.553848
2020-10-07,6.55456
