fecha,fix,inpc,tasa_obj,fix_var_m,inpc_var_m,tasa_obj_var_m,fix_var_a,inpc_var_a
2022-03-31,19.9112,7.242651,6.5,-2.5188855216712214,0.9258227042344913,0.5,-2.5870841487279805,7.3182321910644
2022-04-30,20.3728,7.311269,6.5,2.3182932219052654,0.9474155250611904,0.0,0.9443965474527083,7.652942979757982
2022-05-31,19.694,7.330093,7.0,-3.3318935050655862,0.2574655644594692,0.5,-1.1409897948427061,7.6219449079535595
2022-06-30,20.1335,7.361518,7.75,2.2316441555803923,0.42871215958653064,0.75,1.1418553013634147,7.776159354015166
2022-07-31,20.3485,7.426776,7.75,1.0678719547023707,0.88647477327366,0.0,2.534579627623401,8.11545454188134
2022-08-31,20.0962,7.475263,8.5,-1.2398948325429426,0.6528674084151698,0.75,0.1779616659604688,8.322607719601693
2022-09-30,20.0925,7.529183,9.25,-0.0184114409689351,0.7213124140247551,0.75,-2.284763863964634,8.766160317048023
2022-10-31,19.8245,7.569793,9.25,-1.3338310314794155,0.5393679500153015,0.0,-3.4350234051155004,8.6016119961436
2022-11-30,19.3965,7.616082,10.0,-2.1589447400943373,0.6114962456701178,0.75,-9.553608482977626,8.233825178958366
2022-12-31,19.4715,7.646804,10.5,0.38666769778052945,0.40338326189242046,0.5,-4.864856941838647,7.576721247038476
2023-01-31,18.7937,7.685924,10.5,-3.4809850294019395,0.5115862783981351,0.0,-8.924071489493679,7.89060688294414
2023-02-28,18.3448,7.739885,11.0,-2.3885663812873603,0.7020756385309079,0.5,-10.187655747416247,7.8547428643412465
2023-03-31,18.0415,7.774887,11.25,-1.6533295538790238,0.45222894138607916,0.25,-9.390192454497981,7.348635188966024
2023-04-30,17.9975,7.783704,11.25,-0.24388216057423806,0.11340357744107354,0.0,-11.659173015000402,6.461737353665953
2023-05-31,17.7418,7.782322,11.25,-1.4207528823447557,-0.017755043100309287,0.0,-9.912663755458507,6.169485162057287
2023-06-30,17.1358,7.766768,11.25,-3.415662446876877,-0.19986322848116744,0.0,-14.889115156331501,5.5049787285720075
2023-07-31,16.7303,7.789297,11.25,-2.366390830892051,0.2900691767798502,0.0,-17.781163230704976,4.881270150062433
2023-08-31,16.917,7.829543,11.25,1.115939343586203,0.5166833412565852,0.0,-15.819906250933002,4.739365023009889
2023-09-30,17.4127,7.871663,11.25,2.9301885677129436,0.537962432800998,0.0,-13.33731491850193,4.548700702320563
2023-10-31,18.0368,7.902355,11.25,3.5841655802948402,0.3899049031951707,0.0,-9.017629700622976,4.393277332682688
2023-11-30,17.373,7.941386,11.25,-3.6802537035394267,0.4939160541382881,0.0,-10.432294486118622,4.271277541392027
2023-12-31,16.919,7.981602,11.25,-2.613250446094517,0.5064103419730515,0.0,-13.108902755309037,4.378273589855297
2024-01-31,17.1633,8.060477,11.25,1.4439387670666104,0.9882101362608697,0.0,-8.675247556361976,4.873233198767002
2024-02-29,17.0633,8.109012,11.25,-0.5826385368780884,0.6021355808099038,0.0,-6.9856308054598415,4.769153546855032
2024-03-31,16.5323,8.116657,11.0,-3.1119420041844315,0.09427782324160638,-0.25,-8.365158107696146,4.395819514804522
2024-04-30,17.0958,8.130503,11.0,3.4084791589797048,0.17058747215754622,0.0,-5.010140297263499,4.455449487801677
2024-05-31,17.0177,8.149281,11.0,-0.45683735186419216,0.23095742046956858,0.0,-4.081322075550398,4.715289344234286
2024-06-30,18.2478,8.128175,11.0,7.228356358379795,-0.2589921736653733,0.0,6.489338110855636,4.653248300966384
2024-07-31,18.597,8.204712,11.0,1.913655344753895,0.9416258877300354,0.0,11.157600282122871,5.333151374251099
2024-08-31,19.6535,8.251374,10.75,5.681023821046405,0.5687219734221038,-0.25,16.17603594017851,5.387683546791933
2024-09-30,19.644,8.247167,10.5,-0.0483374462564079,-0.050985447999341016,-0.25,12.814210317756558,4.770326168688865
2024-10-31,20.0378,8.263893,10.5,2.0046833638770245,0.20280903733367328,0.0,11.093985629379933,4.575066546618056
